Fecha,Mes,Región,Precio_KRONOS,Precio_Competencia,Índice_Precio,Market_Share,Dist_Ponderada,Dist_Numérica,Share_en_Distribución,Promoción,Quiebre,Tamaño_Mercado,Unidades_KRONOS,Costo_Unitario,Ventas_KRONOS,Contribución
2023-07-01,7,Norte,12210.93,12649.7,0.9653,0.297,0.8009,0.7758,0.3708,0,0.0458,53651,15932,8087.92,194544583.17,65687813.98
2023-08-01,8,Norte,13178.01,12932.89,1.019,0.2805,0.7104,0.6477,0.3949,0,0.0079,51969,14579,8230.99,192122183.96,72122533.98
2023-09-01,9,Norte,12671.69,12212.24,1.0376,0.2681,0.7266,0.6846,0.3689,0,0.0056,50437,13520,7976.87,171321182.43,63473906.97
2023-10-01,10,Norte,12539.97,12138.35,1.0331,0.2907,0.7707,0.716,0.3772,0,0.0043,54360,15801,7711.1,198144079.23,76301062.2
2023-11-01,11,Norte,11954.98,12020.99,0.9945,0.3504,0.7638,0.6858,0.4588,1,0.0663,52221,18300,7864.26,218776212.81,74860230.46
2023-12-01,12,Norte,12351.4,12522.79,0.9863,0.3102,0.7237,0.6703,0.4286,0,0.0238,48461,15031,7734.84,185653936.87,69391515.21
2024-01-01,1,Norte,11479.15,12029.1,0.9543,0.3038,0.7879,0.7261,0.3856,0,0.0089,51682,15700,8271.54,180222623.59,50359499.16
2024-02-01,2,Norte,12277.25,12152.22,1.0103,0.2924,0.7712,0.7211,0.3792,0,0.021,52615,15385,8286.2,188885495.67,61402300.53
2024-03-01,3,Norte,12201.89,11842.37,1.0304,0.3012,0.7314,0.6767,0.4118,1,0.0125,49289,14845,7463.45,181136982.98,70342052.17
2024-04-01,4,Norte,11830.56,11792.73,1.0032,0.2783,0.7253,0.674,0.3837,0,0.0049,48995,13637,7780.89,161333409.19,55225412.12
2024-05-01,5,Norte,11709.42,12022.79,0.9739,0.3633,0.8772,0.8136,0.4142,1,0.0745,51901,18858,7392.46,220816315.16,81409356.83
2024-06-01,6,Norte,12066.99,11669.11,1.0341,0.2917,0.7304,0.7089,0.3994,0,0.0362,49655,14483,7768.45,174766247.91,62255724.62
2022-01-01,1,Centro,11682.43,11832.88,0.9873,0.3506,0.8159,0.753,0.4297,0,0.0066,45163,15835,8636.65,184991353.91,48230050.89
2022-02-01,2,Centro,11022.6,11240.32,0.9806,0.4081,0.8633,0.8425,0.4727,1,0.0009,47876,19538,7928.78,215359505.58,60446954.82
2022-03-01,3,Centro,11543.0,11990.28,0.9627,0.3223,0.7353,0.6892,0.4384,0,0.0191,49684,16014,7867.99,184849563.02,58851624.74
2022-04-01,4,Centro,11990.03,12720.64,0.9426,0.3681,0.8582,0.7986,0.4289,0,0.0015,50030,18414,7939.26,220784475.33,74590891.2
2022-05-01,5,Centro,12385.74,12323.58,1.005,0.3388,0.7051,0.6465,0.4805,1,0.0123,53841,18240,8206.05,225915878.32,76237443.26
2022-06-01,6,Centro,12166.63,12219.66,0.9957,0.3443,0.7757,0.7365,0.4439,0,0.0005,50622,17431,7823.19,212076549.53,75710514.65
2022-07-01,7,Centro,11840.96,12178.51,0.9723,0.3437,0.845,0.7809,0.4067,0,0.0066,50921,17500,8165.52,207216862.09,64320242.79
2022-08-01,8,Centro,10563.93,11106.16,0.9512,0.3451,0.7665,0.6907,0.4502,0,0.0112,53485,18459,8247.62,194999585.98,42756677.87
2022-09-01,9,Centro,12663.37,12652.74,1.0008,0.3555,0.8341,0.7907,0.4262,1,0.0472,49069,17444,7918.69,220899820.16,82766229.1
2022-10-01,10,Centro,13508.21,12956.16,1.0426,0.2916,0.7104,0.6707,0.4104,0,0.0279,48659,14186,8187.24,191627451.03,75483321.92
2022-11-01,11,Centro,11563.41,11993.88,0.9641,0.3933,0.8038,0.7573,0.4893,1,0.0437,47968,18864,7752.35,218132247.07,71891900.8
2022-12-01,12,Centro,11931.22,12206.47,0.9775,0.3658,0.7589,0.7338,0.482,0,0.0015,50731,18557,8167.73,221407693.15,69839076.3
2023-01-01,1,Centro,12337.01,12577.18,0.9809,0.3223,0.7668,0.7418,0.4204,0,0.0163,54080,17432,8257.3,215058803.38,71117586.62
2023-02-01,2,Centro,11509.66,11990.49,0.9599,0.3826,0.7991,0.7757,0.4788,1,0.0025,49134,18800,8381.34,216381590.84,58812371.24
2023-03-01,3,Centro,12289.88,12246.34,1.0036,0.2973,0.7277,0.6556,0.4086,0,0.0661,47467,14112,8067.23,173434758.55,59590040.62
2023-04-01,4,Centro,11676.28,12048.84,0.9691,0.3612,0.8012,0.7435,0.4508,0,0.0121,51493,18597,8360.12,217143839.81,61670623.74
2023-05-01,5,Centro,12411.0,11944.53,1.0391,0.3109,0.7274,0.6961,0.4275,1,0.0125,52352,16278,8309.78,202026198.35,66759597.54
2023-06-01,6,Centro,11203.77,11043.65,1.0145,0.3603,0.8286,0.7988,0.4348,0,0.0346,52911,19063,7603.93,213577452.64,68623734.33
2023-07-01,7,Centro,12353.45,12589.72,0.9812,0.2946,0.7143,0.6361,0.4124,0,0.0364,54061,15925,7264.32,196728666.66,81044360.79
2023-08-01,8,Centro,11919.17,11945.69,0.9978,0.3397,0.813,0.733,0.4179,0,0.0162,50907,17293,7864.98,206118266.18,70109160.84
2023-09-01,9,Centro,11400.89,11466.19,0.9943,0.3273,0.806,0.7723,0.406,0,0.0193,51543,16868,7751.63,192310175.03,61555645.17
2023-10-01,10,Centro,13113.84,12121.17,1.0819,0.3122,0.8057,0.7346,0.3875,0,0.0165,54653,17065,7925.31,223787703.49,88542275.44
2023-11-01,11,Centro,12997.3,12322.69,1.0547,0.3352,0.7518,0.7236,0.4459,1,0.0003,52058,17450,8317.53,226802828.47,81661976.28
2023-12-01,12,Centro,10477.8,11408.37,0.9184,0.387,0.7865,0.7357,0.492,0,0.0101,52152,20180,8294.46,211441965.15,44059677.34
2024-01-01,1,Centro,12374.68,11992.64,1.0319,0.3215,0.7859,0.7071,0.409,0,0.008,45005,14467,7608.66,179024510.65,68950038.73
2024-02-01,2,Centro,11725.27,12183.3,0.9624,0.3264,0.7743,0.7005,0.4216,0,0.022,46822,15284,7865.99,179208960.35,58985093.4
2024-03-01,3,Centro,11333.04,11592.25,0.9776,0.3154,0.7283,0.6864,0.433,0,0.0234,49425,15586,7790.08,176636697.88,55220474.41
2024-04-01,4,Centro,11838.27,11943.84,0.9912,0.3372,0.8307,0.7996,0.4059,0,0.0093,52272,17625,8712.24,208649455.68,55096181.21
2024-05-01,5,Centro,10661.98,11686.74,0.9123,0.4123,0.8426,0.7689,0.4893,1,0.0143,47036,19391,7708.32,206746530.42,57274508.24
2024-06-01,6,Centro,11507.78,12761.89,0.9017,0.3781,0.7595,0.7168,0.4978,1,0.0078,47286,17878,7806.03,205736160.8,66179989.81
2022-01-01,1,Sur,13296.51,12843.57,1.0353,0.2299,0.7196,0.6944,0.3194,0,0.0177,54439,12513,7867.85,166379191.14,67928801.2
2022-02-01,2,Sur,11490.32,11805.97,0.9733,0.2501,0.7898,0.7355,0.3167,0,0.0861,46071,11523,7580.43,132402959.49,45053667.73
2022-03-01,3,Sur,11447.2,11674.68,0.9805,0.2319,0.6904,0.66,0.3359,0,0.0017,47408,10993,7249.17,125839041.25,46148891.88
2022-04-01,4,Sur,12153.71,12195.13,0.9966,0.2365,0.7319,0.6964,0.3231,0,0.0221,50820,12016,8029.8,146038951.43,49552878.34
2022-05-01,5,Sur,11407.97,11165.3,1.0217,0.2474,0.6869,0.6474,0.3601,1,0.0111,51711,12791,7511.74,145919324.88,49836693.48
2022-06-01,6,Sur,11691.09,12129.86,0.9638,0.2511,0.7519,0.7227,0.3339,0,0.0152,45015,11301,7955.43,132121028.92,42216662.75
2022-07-01,7,Sur,12054.78,11699.02,1.0304,0.2279,0.7753,0.7196,0.294,0,0.0106,52314,11923,8173.12,143729180.56,46281051.27
2022-08-01,8,Sur,11891.18,12185.57,0.9758,0.2424,0.7243,0.6699,0.3346,0,0.003,49532,12004,7821.65,142741685.29,48850656.49
2022-09-01,9,Sur,11689.65,11840.76,0.9872,0.2274,0.7472,0.6958,0.3044,0,0.0419,53104,12077,8360.36,141175850.28,40207732.12
2022-10-01,10,Sur,10538.15,10980.94,0.9597,0.2211,0.6265,0.5616,0.353,0,0.0053,48945,10823,7928.25,114054380.26,28246969.47
2022-11-01,11,Sur,12493.81,12446.21,1.0038,0.2636,0.6758,0.5994,0.3901,1,0.0198,50860,13407,7737.56,167504509.04,63767069.12
2022-12-01,12,Sur,12866.11,12254.69,1.0499,0.2416,0.7683,0.701,0.3145,0,0.0075,50246,12141,8249.1,156207481.17,56055149.03
2023-01-01,1,Sur,11805.82,12035.78,0.9809,0.2342,0.7439,0.7034,0.3148,0,0.0023,51000,11943,8386.09,140996954.37,40841851.78
2023-02-01,2,Sur,11525.75,11786.3,0.9779,0.2309,0.7682,0.7097,0.3006,0,0.0156,52920,12219,7767.86,140833141.22,45917620.29
2023-03-01,3,Sur,11775.52,11110.64,1.0598,0.2133,0.7527,0.7235,0.2834,0,0.0141,49833,10630,7939.15,125173780.35,40780656.95
2023-04-01,4,Sur,13195.45,12891.08,1.0236,0.2121,0.7308,0.7017,0.2902,0,0.0187,51326,10883,8477.96,143606114.41,51340519.39
2023-05-01,5,Sur,11447.31,11505.2,0.995,0.2619,0.7228,0.6673,0.3624,1,0.0102,53282,13957,7952.6,159770098.06,48775692.94
2023-06-01,6,Sur,10733.11,11493.95,0.9338,0.2644,0.7612,0.7204,0.3473,0,0.0268,50219,13276,7549.17,142492826.29,42270038.8
2023-07-01,7,Sur,11369.11,11437.29,0.994,0.2402,0.7197,0.6745,0.3337,0,0.009,46042,11057,8554.69,125708221.3,31119049.03
2023-08-01,8,Sur,11340.37,11865.56,0.9557,0.2812,0.8487,0.8246,0.3314,0,0.0047,50177,14112,7965.55,160035355.98,47625559.62
2023-09-01,9,Sur,12696.65,13284.96,0.9557,0.2554,0.7894,0.743,0.3235,0,0.0164,42021,10732,7897.19,136260444.93,51507761.91
2023-10-01,10,Sur,10944.79,11296.24,0.9689,0.2168,0.6645,0.6429,0.3263,0,0.0252,55256,11980,7973.23,131118558.61,35599219.52
2023-11-01,11,Sur,11308.44,11647.76,0.9709,0.2918,0.7249,0.6942,0.4025,1,0.0212,49608,14473,7894.8,163666982.67,49405606.79
2023-12-01,12,Sur,11940.23,12406.93,0.9624,0.2683,0.7317,0.6879,0.3666,0,0.0046,50758,13617,8177.93,162590056.97,51231179.03
2024-01-01,1,Sur,11554.37,12163.07,0.95,0.2354,0.7662,0.6972,0.3073,0,0.006,49445,11641,8394.73,134504437.53,36781386.15
2024-02-01,2,Sur,11678.55,12378.18,0.9435,0.2604,0.7823,0.7362,0.3328,0,0.0593,43490,11323,7836.52,132236212.99,43503248.64
2024-03-01,3,Sur,12509.94,11981.18,1.0441,0.2494,0.7257,0.6802,0.3437,1,0.0063,50450,12582,8646.57,157400028.63,48608861.47
2024-04-01,4,Sur,11493.07,11688.57,0.9833,0.2234,0.6556,0.6192,0.3408,1,0.0491,50302,11238,8058.75,129159153.67,38594880.98
2024-05-01,5,Sur,11372.98,12204.13,0.9319,0.317,0.7715,0.7391,0.411,1,0.0002,51417,16300,8076.81,185379648.31,53727662.91
2024-06-01,6,Sur,13353.42,12832.74,1.0406,0.226,0.628,0.5768,0.3599,1,0.0036,46161,10433,7895.6,139316262.18,56941508.34
2022-01-01,1,Occidente,11545.04,11282.82,1.0232,0.2645,0.6738,0.6325,0.3926,0,0.0071,47604,12592,7715.18,145375145.3,48225594.54
2022-02-01,2,Occidente,12337.2,12246.66,1.0074,0.2389,0.7071,0.6852,0.3379,0,0.0181,52100,12447,7998.4,153561177.56,54005104.47
2022-03-01,3,Occidente,11595.68,11155.22,1.0395,0.2656,0.7324,0.7079,0.3626,0,0.0137,50727,13472,7811.91,156217055.58,50975005.64
2022-04-01,4,Occidente,12075.93,12353.88,0.9775,0.2783,0.7816,0.7453,0.3561,0,0.009,52917,14726,7604.2,177830147.78,65850762.88
2022-05-01,5,Occidente,12592.24,12532.28,1.0048,0.3196,0.7908,0.7313,0.4042,1,0.0236,51855,16574,7863.88,208703812.76,78367920.21
2022-06-01,6,Occidente,11210.7,11236.72,0.9977,0.2952,0.7909,0.7689,0.3732,0,0.0071,50401,14878,7988.13,166792759.05,47945309.52
2022-07-01,7,Occidente,12028.46,12014.16,1.0012,0.2932,0.7969,0.7747,0.3679,0,0.0052,48451,14206,7687.25,170876288.38,61671150.42
2022-08-01,8,Occidente,11933.57,11869.49,1.0054,0.277,0.7706,0.7032,0.3595,0,0.0197,44210,12247,8080.12,146150485.01,47193315.63
2022-09-01,9,Occidente,12554.33,12041.14,1.0426,0.215,0.7241,0.6753,0.2969,0,0.0414,54228,11659,7495.45,146370887.0,58981389.95
2022-10-01,10,Occidente,11930.79,11563.68,1.0317,0.2514,0.735,0.6977,0.342,0,0.0053,47585,11962,7989.59,142716099.14,47144569.33
2022-11-01,11,Occidente,12265.08,12775.25,0.9601,0.3564,0.7992,0.7225,0.446,1,0.0126,49358,17593,7663.18,215779575.98,80961190.54
2022-12-01,12,Occidente,12321.24,12083.23,1.0197,0.2842,0.7645,0.7306,0.3718,0,0.005,57365,16304,8166.61,200885531.24,67737072.16
2023-01-01,1,Occidente,11672.99,11752.02,0.9933,0.2688,0.7313,0.6658,0.3676,0,0.0033,46479,12495,7834.33,145853984.09,47963992.17
2023-02-01,2,Occidente,11367.75,12101.46,0.9394,0.3215,0.8274,0.8019,0.3886,0,0.0062,55387,17807,8163.05,202425573.18,57066146.62
2023-03-01,3,Occidente,11623.21,11574.72,1.0042,0.2379,0.6626,0.627,0.3591,0,0.0137,46227,10999,7844.72,127843720.32,41559682.32
2023-04-01,4,Occidente,12561.83,11991.79,1.0475,0.2884,0.8763,0.8069,0.3291,0,0.0227,48407,13961,7508.18,175375666.55,70553949.94
2023-05-01,5,Occidente,12268.14,12120.01,1.0122,0.3213,0.7966,0.7246,0.4033,1,0.0246,51265,16471,8150.72,202068603.82,67818012.51
2023-06-01,6,Occidente,13270.37,12504.26,1.0613,0.2455,0.7175,0.6447,0.3421,0,0.0006,51441,12628,7949.86,167578179.8,67187289.94
2023-07-01,7,Occidente,12191.41,12603.25,0.9673,0.2641,0.7684,0.6985,0.3437,0,0.0001,48819,12891,8245.33,157159499.27,50869004.27
2023-08-01,8,Occidente,12055.54,12012.32,1.0036,0.2936,0.7877,0.7353,0.3728,0,0.0023,45949,13492,8074.82,162653404.16,53707998.76
2023-09-01,9,Occidente,12085.75,11952.35,1.0112,0.2619,0.7804,0.7542,0.3356,0,0.0233,50559,13239,7944.09,160003254.52,54831469.76
2023-10-01,10,Occidente,11901.08,11818.52,1.007,0.2638,0.6595,0.6022,0.4,1,0.041,52895,13952,7832.32,166043874.83,56767298.11
2023-11-01,11,Occidente,12749.14,12782.76,0.9974,0.2762,0.7222,0.6858,0.3824,1,0.1,55643,15368,7565.6,195928832.96,79660756.25
2023-12-01,12,Occidente,11974.6,12220.01,0.9799,0.2698,0.6989,0.674,0.386,0,0.0213,52125,14061,7933.28,168374892.43,56825096.26
2024-01-01,1,Occidente,12245.22,11942.7,1.0253,0.2404,0.6886,0.6522,0.3491,0,0.0105,54980,13215,7927.63,161820607.73,57056988.09
2024-02-01,2,Occidente,12031.1,11374.23,1.0578,0.2461,0.7459,0.6678,0.33,0,0.0406,53351,13131,8212.31,157980357.44,50144453.61
2024-03-01,3,Occidente,12527.16,12229.96,1.0243,0.2567,0.7028,0.6808,0.3653,0,0.0192,50969,13085,7973.08,163917884.14,59590141.61
2024-04-01,4,Occidente,12501.89,11661.8,1.072,0.2502,0.748,0.7241,0.3345,0,0.0063,45707,11435,7809.62,142959139.73,53656152.3
2024-05-01,5,Occidente,11849.5,11861.55,0.999,0.2869,0.7413,0.6926,0.387,1,0.0183,47935,13751,8307.06,162942535.58,48712202.24
2024-06-01,6,Occidente,12419.49,12186.07,1.0192,0.2411,0.7488,0.7225,0.322,0,0.0863,48286,11640,7998.92,144562844.99,51455425.06
